ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER
44625-20120516,2144159,55731,1
20588-20010216,1140244,29087,1
1444837-20060216,1669025,269623,1
1357221-20140116,2296770,263878,1
1330910-20050216,1566853,257616,1
1479264-20040310,1479264,274117,1
1171521-20100516,2024384,219205,1
1888642-20110916,2107116,327324,1
1698790-20070216,1795996,304605,1
1489458-20080916,1917550,36996,2
1139290-20060216,1664550,212320,1
1246611-20020515,1246611,246433,2
57512-20031116,1475693,40301,1
1301013-20130416,2237133,254559,1
1910496-20120616,2150404,332846,1
1171057-20020216,1220232,218975,1
1922430-20080806,1922430,335705,1
2033243-20100514,2033243,353410,1
1959112-20090224,1959112,65934,3
1963751-20110416,2083058,341940,1
2113672-20110818,2113672,365560,1
1488739-20080316,1886807,260173,1
2049685-20121216,2195485,355685,1
1798662-20121016,2180577,25417,2
1447400-20050216,1569226,271012,1
65577-20020816,1258743,43302,1
1305760-20080316,1886786,256745,1
20916-20031116,1407867,8649,1
1958670-20090218,1958670,340941,4
1943386-20110216,2072429,304075,2
1171287-20020216,1220266,219092,1
1695905-20120716,2155453,303220,1
1822539-20070605,1822539,318216,1
2120141-20110922,2120141,366514,1
1334363-20110116,2067084,259072,1
2147884-20120411,2147884,371323,1
1997813-20100416,2020738,347428,1
24571-20020816,1260800,52727,1
18270-20020216,1199542,7496,1
1423005-20031116,1441810,267791,1
1696314-20070216,1795622,303267,1
1516892-20050216,1562650,202373,3
1448332-20041116,1540036,271373,1
2189016-20120919,2189016,375757,1
53783-20060216,1658078,38853,1
1922933-20120816,2161198,335881,1
2089485-20110415,2089485,361438,1
1680696-20060412,1680696,301611,1
1649613-20051208,1649613,298795,1
1225585-20030216,1326407,243206,6
33989-20120916,2174009,89255,2
1821884-20070525,1821884,317867,1
43827-20020216,1206406,35240,1
1574026-20060216,1671925,286540,1
22117-20110316,2075876,52404,1
33206-20061116,1746283,14659,1
2113774-20110819,2113774,365488,1
40414-20020216,1211204,55065,1
1442894-20031008,1442894,268793,1
1680356-20100316,2016225,301458,1
1964290-20100216,2013009,342152,1
6804-20040816,1412104,25504,1
59416-20060216,1658321,41082,1
1248699-20030216,1327827,248493,1
1495399-20070816,1834226,230345,2
1228168-20020322,1228168,20504,2
1244991-20091016,1988495,65406,12
1573177-20050113,1573177,286109,1
6063-20040216,1452487,25309,1
1820957-20160216,2440518,317509,1
2008373-20091124,2008373,349073,1
21616-20120416,2138842,8970,33
1766357-20060926,1766357,309442,1
1938934-20100416,2019971,298092,3
58898-20011116,1330735,58218,1
1422661-20031022,1422661,267679,1
659-20051116,1627495,24088,1
1475343-20040130,1475343,272674,1
1908554-20080521,1908554,306408,3
1888840-20120116,2127502,263669,4
2098042-20110526,2098042,362245,1
21575-20071116,1853127,29300,1
86696-20060216,1662579,81969,2
2008900-20091203,2008900,349307,1
1959542-20150316,2377748,341335,1
50734-20050816,1606342,56719,1
1479177-20070216,1782354,57389,3
1493367-20090116,1941132,276015,1
1227604-20050216,1565279,244110,1
2125523-20111107,2125523,367591,1
1620164-20060216,1674196,294837,1
1943368-20081205,1943368,339307,1
1942296-20081114,1942296,338865,1
2147737-20160416,2448232,53917,2
2088996-20110406,2088996,216628,1
1573068-20060216,1671822,286068,1
1840643-20110716,2110024,319394,1
67612-20050216,1552614,20794,2
2142557-20120614,2142557,370431,1
1548079-20110116,2067193,266268,2
1272644-20060216,1666586,251292,1
1305798-20040216,1466183,256755,1
1519516-20040913,1519516,42397,2
2141549-20140316,2307364,370039,1
2099388-20130616,2251869,362834,1
1648671-20120916,2174808,298020,1
2141287-20120228,2141287,369192,1
53383-20150316,2375632,38691,1
47196-20111016,2111178,64400,1
21415-20050216,1554616,29256,1
1874069-20071102,1874069,323956,1
1648253-20111116,2117775,272175,1
1595749-20050516,1595749,267752,2
1381457-20050216,1568326,265831,1
23125-20110416,2081277,63414,54
2099176-20110607,2099176,362742,1
1244311-20110416,2081874,246154,1
1332934-20100516,2023743,52669,4
2162341-20120618,2162341,373299,1
1904702-20150916,2415904,331277,1
1422573-20040216,1469054,267069,1
16113-20020216,1210126,51696,1
2134343-20140116,2298060,368839,1
1958594-20101216,2063687,340985,1
1495915-20060216,1655831,28174,2
74023-20060216,1651531,5582,2
1358259-20030617,1358259,264447,1
42953-20031116,1428045,16252,1
1575444-20111016,2110349,17484,1
1489593-20040408,1489593,45120,3
62601-20030216,1320838,81555,2
1139205-20040216,1457447,52370,2
33664-20060216,1656879,32431,1
2102616-20110616,2102616,321473,3
1518698-20080316,1886975,281037,1
1120766-20100416,2018914,55417,3
1443507-20060516,1692275,269050,1
38271-20101016,2050451,6207,1
7970-20050216,1558109,50738,1
1197739-20031116,1437868,222545,1
1119096-20091016,1987412,14457,1
1542804-20041006,1542804,282784,1
1681141-20111116,2115742,11071,92
63387-20070816,1829190,42411,1
1478651-20110216,2071924,273864,1
2103392-20111201,2103392,363360,1
1244990-20070216,1783518,65406,11
1245431-20060216,1656235,29736,2
1517756-20080716,1906045,37892,2
1249533-20020711,1249533,248673,1
1479414-20050216,1570197,274160,1
1648783-20111016,2112162,298203,1
31699-20050216,1555298,31950,1
2133643-20140116,2297881,368480,1
1676811-20080416,1891265,300049,1
2004020-20111116,2119429,348676,1
1242721-20020327,1242721,65406,1
52678-20020216,1201125,17685,1
1678485-20060207,1678485,283255,2
1803949-20070315,1803949,315181,1
1516999-20090416,1957530,280275,1
1902972-20110116,2067964,326759,3
1914882-20080729,1914882,36708,2
1305423-20040216,1466154,256593,1
1224694-20060216,1662044,66142,3
1888705-20110316,2078117,327369,1
1379251-20040216,1425564,264690,1
1496063-20040629,1496063,278640,1
30647-20070816,1830264,53567,1
2074222-20110105,2074222,259147,1
1243949-20030216,1327130,245963,1
1336868-20060216,1665708,230038,2
1888980-20100516,2023955,61178,3
1299949-20050816,1646416,254115,1
2054459-20100824,2054459,356122,1
1196151-20040216,1456643,47503,2
1679000-20060216,1679000,59291,2
2008637-20120616,2150729,349203,1
15332-20020216,1245395,86650,1
1403935-20130416,2237394,267380,1
2083393-20120418,2083393,342183,2
1144801-20030216,1324409,215645,1
1579596-20050322,1579596,289044,1
1444570-20070216,1789975,269528,1
1332377-20060216,1664022,207698,8
1517860-20090516,1962168,280589,1
75971-20030816,1366814,47170,1
1035-20110416,2080524,24145,1
1847600-20070910,1847600,322217,1
1515141-20051116,1641673,279333,1
1969905-20110516,2087386,343243,1
20757-20150316,2375552,29121,1
1948522-20090416,1958541,339981,1
49547-20020216,1207026,37266,1
13397-20091116,1993450,27276,1
32549-20110216,2070369,14537,1
47899-20040216,1455286,36689,1
1225981-20030216,1326479,243377,1
2093645-20110602,2093645,361789,1
1488657-20050216,1570380,274769,1
1592650-20070216,1792974,289848,1
2196293-20121023,2196293,376520,1
31413-20060216,1656735,31858,1
1768945-20090516,1962587,311066,1
1358522-20050216,1568130,264560,1
24014-20120816,2159573,52652,1
1768961-20080216,1882734,304179,1
1909704-20080609,1909704,214824,2
2084812-20110311,2084812,360410,1
2129527-20111128,2129527,368037,1
1446258-20031119,1446258,270465,1
1908944-20110116,2066186,33316,2
18696-20120516,2143263,7551,43
23436-20060816,1727290,17297,1
1448047-20051116,1625532,12970,4
1798181-20120216,2132803,309091,1
1514163-20100416,2019748,278977,1
1888156-20080324,1888156,325420,1
1447193-20031202,1447193,270113,1
1447753-20050216,1569257,271158,1
1336524-20040216,1467151,260217,1
32098-20020216,1383150,14473,1
1045836-20060216,1663758,203856,1
1334865-20110416,2080487,20843,3
78326-20110316,2075463,23060,2
49435-20040216,1477169,37228,1
2134390-20120110,2134390,341151,31
48830-20070216,1779771,37011,1
1620372-20070216,1774328,7541,1
26142-20111016,2110634,30487,1
24186-20050216,1558535,52678,2
1591598-20060216,1672700,289304,1
2048491-20100804,2048491,355162,1
1473771-20071216,1872222,272073,1
47414-20050216,1551812,16821,2
1493728-20041116,1531239,59077,2
1492677-20040513,1492677,219187,2
16862-20070216,1784462,85707,1
81167-20020816,1264090,67869,1
1771571-20061220,1771571,48129,1
1337354-20060816,1719335,141,2
32656-20120216,2130553,4599,1
1804302-20070320,1804302,299263,1
84289-20020216,1214587,81445,1
14796-20090516,1961024,51548,1
73543-20020216,1215660,88537,1
1879161-20071205,1879161,324859,1
2042669-20120716,2154933,242799,2
2003306-20110716,2097760,348392,1
1139304-20040216,1462465,212319,1
2043558-20100714,2043558,355011,1
1595817-20111116,2118032,291454,1
1695636-20060918,1695636,303080,1
1437-20111116,2115371,264,1
49956-20041116,1530964,56542,1
1678451-20080516,1897530,295261,1
1739679-20120516,2145237,307357,1
24048-20130116,2199450,29935,1
2013465-20100224,2013465,272631,3
57090-20090316,1950446,57873,1
1515862-20040729,1515862,279756,1
62930-20070216,1780381,42248,1
41662-20060516,1683629,5033,20
1244216-20020417,1244216,246113,1
1380799-20030716,1380799,254608,2
44418-20080316,1885849,35444,1
1358255-20030617,1358255,264444,1
1771485-20110816,2101633,311675,1
1596779-20100416,2018910,55238,3
1426037-20030925,1426037,268170,1
2026637-20100323,2026637,351758,1
1491284-20040427,1491284,57698,2
1621435-20050920,1621435,58915,1
1332619-20080516,1896982,258402,1
19970-20060816,1723286,28939,1
1244311-20040216,1464569,246154,1
85003-20030216,1320100,65953,2
1194655-20021116,1295627,212486,1
2089188-20111116,2117472,244084,3
844-20091216,1999220,158,1
1904395-20100316,2015391,67895,2
1980532-20090706,1980532,345135,1
46367-20040216,1458208,56006,1
26324-20010216,1166297,30532,1
2202133-20121119,2202133,377130,1
1478153-20121216,2193326,14949,1
22058-20030216,1311924,29429,1
2073934-20120616,2150714,348527,2
1141704-20040216,1542835,19292,3
1495904-20121116,2185589,7450,4
1738010-20060703,1738010,282667,2
14989-20020216,1203827,27650,1
2027795-20100413,2027795,352326,1
86305-20020216,1214007,66908,2
2084431-20110304,2084431,60389,3
1717938-20070216,1796213,305416,1
1248387-20060216,1820726,248313,1
1354629-20040216,1455062,35704,2
1145445-20020216,1219397,216024,1
1547998-20061116,1761274,285743,1
64301-20030216,1315398,42741,1
50458-20110216,2070945,37604,1
1475523-20060216,1669538,272774,1
1575355-20090116,1940559,207698,12
1514604-20100416,2018629,37030,2
1681457-20080516,1897627,301979,1
1494680-20040908,1494680,277832,1
1337214-20050216,1567424,260568,1
44298-20060216,1660355,55673,1
52977-20040216,1458398,57093,1
1223824-20060216,1665744,230267,1
1139249-20010816,1164911,212296,1
1578015-20090716,1971389,42635,2
1742424-20110316,2077707,308668,1
1337817-20030429,1337817,260912,1
1273780-20030129,1273780,251805,1
1245961-20030816,1375891,246938,1
24338-20080516,1895317,9843,1
1474084-20050216,1558842,54100,2
1874179-20101116,2058351,310617,2
1227902-20091016,1988922,244804,1
1244617-20040216,1456083,42066,2
2002810-20110616,2092394,343868,11
2137426-20120127,2137426,347797,2
47082-20101116,2056112,16760,2
1492257-20140516,2317424,276591,1
1804280-20110216,2071788,263242,1
1244290-20040816,1509400,243732,2
1124318-20050216,1560829,65524,12
1597615-20050614,1597615,292486,1
35886-20040216,1449774,8433,2
62115-20040216,1456072,41945,2
86010-20020216,1213940,66665,2
1577067-20111016,2111212,65406,53
1473527-20041116,1540186,271957,1
1299758-20021023,1299758,254015,1
1743519-20060918,1743519,292534,2
1166597-20030216,1324674,216894,1
1816757-20120716,2155585,315763,1
1047583-20030216,1322466,204762,1
3117-20051116,1623559,2811,1
1357477-20040216,1468214,264033,1
73433-20060516,1687559,46184,5
56975-20020216,1212024,57853,1
1142749-20050216,1563865,214467,1
78155-20020216,1209176,47904,1
28812-20020216,1205054,31164,1
1331858-20040816,1510717,256987,1
1948779-20090116,1948779,340128,1
1381017-20060216,1804208,265624,1
1143767-,1143767,65406,1
1575710-20100516,2024790,274108,2
1248174-20060216,1666357,248194,1
1140861-20020216,1218645,213473,1
1575956-20050203,1575956,287301,1
1384175-20050816,1601223,18452,31
1516885-20050317,1516885,243732,9
1493199-20110216,2071484,218907,2
1353006-20030414,1353006,261700,1
79045-20121216,2193877,48228,1
47865-20050216,1556413,36672,1
2104335-20110714,2104335,364051,1
1518616-20051116,1679435,220174,2
2172680-20120713,2172680,374054,1
1226352-20020306,1226352,243551,1
1992289-20110516,2087402,343254,5
1124118-20030216,1317903,55050,1
1960243-20090313,1960243,341679,1
1304370-20030216,1329594,256134,1
1823557-20070618,1823557,319176,1
1380721-20110416,2082096,265497,1
74645-20071116,1851924,22277,1
1516242-20040803,1516242,279956,1
59770-20040216,1458671,58421,1
1167178-20140316,2306274,217256,1
53002-20030216,1308992,17739,2
1495097-20040611,1495097,278050,1
1742254-20060828,1742254,308579,1
1335540-20050216,1567251,259675,1
84409-20060216,1662528,81473,1
33255-20021116,1281291,14669,1
2089414-20110414,2089414,361382,1
2098159-20110520,2098159,362310,1
1798463-20120416,2140053,257715,2
1682173-20070216,1795368,302304,1
76487-20060216,1654570,22616,1
2142439-20120314,2142439,370384,1
1403716-20080216,1881973,267270,1
2172543-20120913,2172543,373996,1
19114-20120516,2143761,28679,1
1333438-20060216,1666633,251698,2
1223327-20040216,1542736,230067,1
2146185-20120315,2146185,304732,1
2048382-20120816,2161724,355127,1
2004288-20091112,2004288,348796,1
1299434-20021031,1299434,253837,1
1145301-20100316,2015734,215928,1
1678512-20070816,1827429,27264,2
1168738-20030216,1324894,217949,1
2103430-20110628,2103430,363386,1
1119010-20040216,1458637,58221,3
1353482-20030417,1353482,261932,1
49812-20060216,1657894,37363,1
1680005-20060223,1680005,278952,1
2064625-20110121,2064625,327154,3
1478205-20060216,1697214,273663,1
1948229-20090122,1948229,29087,33
23018-20110416,2081186,63414,5
2196071-20121017,2196071,376416,1
2093238-20130516,2244621,361643,1
1493808-20090916,1983383,277356,1
1515432-20040803,1515432,279585,1
1337570-20040516,1492705,66766,4
1884587-20080925,1884587,66610,127
1719149-20060622,1719149,209606,2
1227745-20101016,2051790,244813,1
2120255-20111020,2120255,366568,1
1904612-20100616,2030730,331207,1
1442667-20031007,1442667,268688,1
2162681-20120621,2162681,51074,1
52373-20071116,1851383,17632,1
1677419-20121016,2181087,81906,2
28250-20030216,1317398,53252,1
11284-20090516,1960377,5285,2
1478713-20080316,1886888,272850,1
13012-20040216,1460830,86623,1
1226838-20100316,2015797,243746,1
1513861-20050216,1571530,278813,1
21360-20111116,2115579,8871,1
1545675-20060216,1681264,284288,1
1170084-20090116,1940664,218500,1
1245362-20031215,1245362,246664,1
1277739-20021008,1277739,219173,2
1444184-20100516,2024731,269358,1
7882-20040216,1449027,3938,1
1222895-20060216,1665393,220542,15
69535-20030216,1315624,44732,1
1246761-20020514,1246761,247389,1
1383648-20030924,1383648,266780,1
34523-20040216,1457843,54111,1
1478028-20040225,1478028,273596,1
1621435-20060216,1660919,58915,1
1598167-20051116,1628414,28129,2
1797908-20061229,1797908,312864,1
1139182-20020216,1216377,203755,1
1356094-20030522,1356094,202177,2
1542368-20050516,1591092,282182,1
1573558-20070216,1792308,286272,1
2119839-20110927,2119839,366375,1
1381806-20100816,2039843,265984,1
1770410-20120816,2160825,311742,1
1384109-20030820,1384109,243428,2
58812-20040216,1451243,18731,1
1579176-20050311,1579176,288795,1
18481-20120516,2142815,147,28
60008-20030216,1315389,42691,1
1548330-20060816,1734214,285900,1
1679069-20060222,1679069,300915,1
1822592-20111116,2115777,11071,123
1490362-20120416,2139982,243800,2
24702-20140416,2309950,30111,1
76645-20040216,1451980,22648,1
67390-20020216,1274827,20719,1
1168703-20040216,1463169,217936,1
1680027-20061116,1764196,301319,1
1959866-20100916,2047758,341497,1
1094959-20020816,1266750,207876,1
75769-20070216,1780769,47064,1
2027728-20111216,2121921,21895,1
2013609-20110116,2067926,323754,3
2129495-20111128,2129495,368019,1
1737552-20070216,1796447,306329,1
1223142-20040216,1463932,229991,1
1902734-20080429,1902734,330288,1
13037-20021116,1289581,51330,1
1820183-20130516,2243661,317191,1
1443249-20040216,1469543,268937,1
2196049-20121017,2196049,376406,1
1245781-20040216,1464659,246690,1
1765989-20061116,1766203,309321,1
1682188-20111116,2115751,11071,108
1480006-20110216,2071935,274431,1
1799386-20090416,1955484,20272,3
2043228-20100708,2043228,354866,1
16550-20020216,1203997,28071,1
1738337-20071116,1852833,27631,2
21394-20020216,1199738,8879,1
1698493-20080316,1887197,304472,1
22487-20060216,1656183,29546,1
1579460-20070216,1787144,230051,2
1964415-20110116,2067449,290554,2
2141541-20120313,2141541,370036,1
1477991-20080516,1896710,209551,2
2048332-20120816,2159829,72161,2
31182-20110216,2070356,14290,1
1932846-20110116,2068110,337373,1
1331712-20040216,1458826,59387,2
1885074-20121016,2180440,17101,1
30123-20070216,1775018,12015,1
50260-20130316,2226631,56617,1
1616619-20081116,1930869,293217,1
2060622-20110216,2179397,74532,1
2087886-20110321,2087886,360619,1
36889-20020216,1205800,33238,1
35085-20060216,1656979,32741,1
11437-20020216,1199119,5342,1
72858-20130316,2226128,21945,2
1227271-20020314,1227271,243967,1
2013269-20100309,2013269,349709,1
1271542-20030216,1322941,207885,2
64868-20050216,1560650,64892,1
1242706-20030216,1333858,65406,1
1680535-20060301,1680535,301539,1
1351579-20030327,1351579,261023,1
1475787-20100116,2006490,272874,1
1579868-20070216,1783949,67559,3
1383530-20030925,1383530,266744,1
1697403-20060502,1697403,303944,1
1909492-20100616,2030866,332299,1
1474867-20080516,1896108,52946,2
1598400-20070216,1793464,292975,1
1803638-20070313,1803638,315020,1
1991783-20090911,1991783,344668,1
1845975-20070821,1845975,321588,1
2142244-20120816,2159042,18722,5
1228170-20020325,1228170,214940,1
1575754-20080416,1891074,287208,1
1980839-20100316,2015049,44572,3
2183811-20140916,2348156,375117,1
32254-20051116,1632257,53809,1
2036988-20101216,2064079,353751,1
1228626-20020327,1228626,245254,1
1927880-20090816,1978976,333130,1
1797808-20070102,1797808,210584,2
71531-20090316,1950495,60663,1
1979833-20090717,1979833,213986,5
6624-20060516,1688481,62782,2
51603-20090916,1982051,38002,1
1542302-20051116,1634060,65776,3
35032-20061116,1753446,63955,1
14503-20060516,1686269,27524,46
33330-20060216,1660014,53953,1
16551-20070216,1773887,5617,2
86696-20040216,1460330,81969,2
1620542-20120716,2153968,16765,3
1473019-20140316,2305522,22784,3
1141622-20110516,2086202,213832,1
2032697-20100510,2032697,353159,1
1243423-20040216,1464498,245702,1
41434-20060216,1653299,16092,1
1250256-20020701,1250256,250221,1
58025-20051116,1630590,40524,1
1046934-20070216,1785435,204340,1
1145087-20061116,1755921,212655,1
1093979-20060516,1690380,204152,2
1197867-20020204,1197867,222581,1
2156826-20120518,2156826,293756,3
71768-20050216,1868772,21692,1
19866-20070216,1778074,28897,1
2158200-20120607,2158200,373028,1
55351-20031116,1414730,39473,1
1542100-20110616,2090795,79083,1
1000345-20030216,1317083,52155,3
70515-20050516,1586074,60455,1
1802280-20110216,2071803,264343,3
1335870-20050816,1612082,259868,1
1548143-20110116,2065968,25739,4
31431-20090516,1961084,53681,1
1547422-20050126,1547422,285429,1
1646946-20051027,1646946,222774,2
1618968-20060216,1674075,294316,1
1597867-20110516,2086683,292684,1
81343-20040216,1460050,67895,1
1357197-20030701,1357197,21247,3
1823579-20120416,2140568,319196,1
39081-20010216,1105391,33854,1
33119-20020216,1198487,3106,1
14306-20060516,1686206,27477,9
50813-20080316,1886096,56741,1
1491730-20040503,1491730,276360,1
1974733-20110616,2092403,343887,1
2114863-20110908,2114863,366120,1
1914737-20081204,1914737,333231,7
1119386-20071116,1858305,86342,4
1215-20111116,2115369,233,1
1478620-20040303,1478620,273851,1
1574665-20090416,1956028,52886,3
49849-20060216,1660476,56527,1
2003997-20091204,2003997,348665,1
1544021-20041022,1544021,283369,1
1337191-20060516,1691805,260560,1
65456-20010216,1248673,43237,1
86181-20070216,1783875,66808,2
1575171-20060216,1656076,29087,19
1242865-20050816,1606669,60777,2
19882-20050216,1554519,28907,1
1276025-20020830,1276025,252720,1
2177797-20120726,2177797,374391,1
1493648-20041116,1535501,220058,2
2042110-20100621,2042110,354374,1
1578857-20070216,1788509,257288,2
1336244-20050216,1567343,260066,1
31816-20020216,1205346,31978,1
1979887-20120416,2138887,8970,95
2055064-20100915,2055064,356332,1
1491716-20050216,1559113,55280,3
1937830-20131216,2291851,309599,2
1225897-20020326,1225897,243331,1
21779-20020216,1204431,29359,1
2179720-20120809,2179720,374743,1
1300564-20030216,1329243,254364,1
1542712-20050216,1572402,282747,1
2003412-20100623,2003412,340501,7
31472-20110416,2080686,31876,1
1915323-20100916,2046393,310795,2
2157897-20120604,2157897,372911,1
1334062-20030324,1334062,57114,3
1442046-20050516,1590155,268468,1
1336214-20070216,1884759,260046,1
1475721-20120316,2136255,272850,1
1596275-20060216,1673332,291715,1
1000570-20050216,1562528,200680,1
1332652-20040216,1442615,258405,3
33457-20060516,1690124,86837,2
2237-20040216,1452133,23634,2
3144-20111216,2121527,2817,1
2084722-20110310,2084722,360377,1
1964462-20120116,2128551,342252,1
1619445-20070816,1836047,270567,2
1445746-20070216,1790035,270278,1
1804461-20070321,1804461,315381,1
1986262-20100216,2013043,346088,1
2032397-20100503,2032397,353024,1
43907-20040216,1458149,55611,1
13011-20030816,1367629,51324,1
31474-20030216,1317524,53691,1
2099489-20130616,2251907,362885,1
1822721-20070607,1822721,318301,1
2202594-20121128,2202594,377349,1
85219-20040516,1485480,66122,2
1898705-20080916,1917834,55951,3
63695-20060216,1654118,20020,2
1621023-20050929,1621023,27756,4
64464-20020816,1253512,20178,3
1381364-20081216,1935762,265795,1
60350-20110716,2095367,41414,1
1299713-20060216,1666904,253995,1
69524-20030216,1319070,60272,1
2078923-20110121,2078923,359341,1
2004001-20100324,2004001,348666,1
2202258-20121212,2202258,377196,1
1425839-20040216,1469332,268136,1
74137-20030216,1490588,8458,2
1738472-20070216,1796571,306810,1
2021002-20101216,2063999,350910,1
2108179-20110720,2108179,364421,1
1739663-20060725,1739663,307351,1
1887813-20100116,2007121,312792,2
1475343-20080316,1886887,272674,1
2147653-20120410,2147653,371238,1
1681039-20111016,2111450,208357,15
2104115-20110708,2104115,363868,1
38520-20050216,1551476,15636,3
1904104-20121016,2182296,330932,1
1740206-20060801,1740206,307584,1
2042492-20100625,2042492,354526,1
1044996-20031116,1579344,202874,1
1299880-20021106,1299880,16911,4
1591769-20130516,2243303,289402,1
1675366-20051229,1675366,299421,1
1226262-20030216,1311607,28419,2
1741297-20070216,1785342,202992,2
1299700-20040216,1489201,253988,1
1069758-20090516,1960295,1804,2
1379643-20040216,1468502,264938,1
1305004-20030816,1377096,253010,3
1356804-20050816,1612366,263625,1
1697901-20060505,1697901,299843,1
47948-20031116,1416551,56234,1
1245546-20030216,1327373,246759,1
1879924-20121116,2186419,53854,3
1959219-20090225,1959219,341214,1
1844305-20080616,1844305,298955,2
14499-20060516,1686265,27524,42
1475863-20040401,1475863,33135,2
57513-20110516,2085244,18495,2
1357085-20040216,1468146,263794,1
48926-20020216,1211577,56372,1
1488019-20040319,1488019,60318,2
1492270-20040510,1492270,276598,1
1619515-20050824,1619515,294578,1
42644-20021116,1301647,55412,1
1403-20120316,2134871,259,31
2147824-20140416,2313372,371302,1
1379755-20040216,1468529,265009,1
1470855-20031217,1470855,271449,1
1953691-20110216,2073084,340458,1
1646120-20051012,1646120,296669,1
2084680-20120123,2084680,343184,1
38351-20120116,2126727,33648,1
1223242-20060216,1653528,16875,19
48229-20110316,2075218,16964,6
2021621-20110916,2106536,288311,19
1770651-20111116,2118080,294473,2
1622767-20100416,2019953,296003,1
1842821-20070830,1842821,320401,1
40472-20030216,1313398,34213,1
1383953-20030819,1383953,61762,1
85832-20091216,2000431,66610,24
1276346-20020924,1276346,48904,2
26736-20120516,2144084,53024,1
5058-20021116,1289366,50472,1
1986855-20111216,2122606,66610,145
1520418-20050216,1566773,257144,2
66937-20020816,1382166,20614,1
1193003-20030216,1325252,219706,1
1622297-20061116,1762949,295761,1
1243892-20030816,1375693,245618,1
23827-20060516,1686469,29859,1
2183671-20120822,2183671,375074,1
16928-20050216,1561845,85950,1
2013874-20100107,2013874,349983,1
57345-20100416,2019282,89452,1
2137704-20120201,2137704,359315,2
1228456-20030216,1326897,245183,1
52207-20051116,1630272,38242,1
1592661-20110416,2082383,289642,1
2158203-20120611,2158203,327070,8
2093222-20110421,2093222,273198,2
1352166-20030403,1352166,66962,2
1845407-20071220,1845407,497,10
1495385-20070216,1868083,278250,1
35549-20030216,1317685,54265,1
1168703-20070216,1786609,217936,1
1887792-20080314,1887792,29108,3
1596732-20050527,1596732,37082,2
20908-20150416,2380974,29143,1
1543863-20041021,1543863,283296,1
1594652-20060216,1673116,290858,1
1270693-20020716,1270693,250293,1
1223789-20060216,1943529,230247,1
64796-20030216,1336883,20242,2
1575188-20110116,2066440,55050,8
28384-20021116,1289991,53271,1
1140356-20030216,1323921,212843,1
2026179-20101016,2052473,299487,8
11572-20080516,1895674,26787,1
1697584-20060502,1697584,304026,1
1306158-20060516,1691634,256950,1
1696362-20060418,1696362,274080,2
2103715-20110706,2103715,363610,1
17129-20020216,1215056,85715,2
2183753-20140916,2346556,329565,2
1331589-20050216,1566915,257953,1
1226262-20050216,1554392,28419,2
1168924-20030816,1360442,13860,12
1301413-20021114,1301413,254894,1
1980364-20090706,1980364,21802,3
1678606-20060215,1678606,300753,1
1120599-20070516,1812279,209937,1
2861-20040216,1452292,24567,1
6496-20030216,1310360,23675,1
47605-20040216,1450850,16857,2
1474115-20040114,1474115,272204,1
1330254-20030318,1330254,257308,1
2017928-20160116,2435817,285488,9
2059515-20101101,2059515,356647,1
16548-20051116,1628398,28069,1
2156849-20120523,2156849,371340,3
1172173-20050216,1564457,219308,1
54100-20040216,1455654,38954,1
1195453-20050216,1564647,220797,1
1404230-20050216,1568593,267529,1
1490009-20040409,1490009,275476,1
2109892-20121216,2195146,340129,7
1986369-20090804,1986369,346128,1
1820894-20070515,1820894,316724,2
61827-20020216,1212238,58745,1
32243-20030216,1317561,53808,1
1354295-20050216,1567731,262353,1
55344-20060816,1721805,18142,2
1963769-20090327,1963769,341947,1
1225957-20031114,1225957,243363,1
2142061-20130616,2249321,250617,3
86231-20020816,1263866,66856,2
1515653-20090316,1951935,278209,1
1942477-20121216,2195080,338944,1
1194517-20020216,1220569,220410,1
1616673-20050624,1616673,293250,1
2079342-20110131,2079342,359534,1
1933614-20081008,1933614,278874,2
1741311-20070516,1815946,308131,1
1874119-20090716,1973665,323982,1
10938-20060216,1655416,26590,1
2179803-20120810,2179803,352993,9
2176969-20120717,2176969,374079,1
16515-20011116,1180100,28060,1
86039-20010216,1116056,81645,1
1120269-20040216,1462071,209782,1
1546249-20060516,1693118,284518,1
1846848-20110216,2072648,315215,2
1337060-20030401,1337060,260499,1
1579808-20050322,1579808,289133,1
57838-20110616,2090377,40430,1
1822197-20090616,1966616,81606,2
1167213-20100516,2024364,217279,1
1047675-20120716,2154809,204688,1
22956-20060516,1684324,8372,4
81227-20020216,1213553,65406,1
57345-20140416,2310603,89452,1
39394-20040216,1458003,54879,1
1305272-20040216,1466144,256534,1
12930-20050216,1554018,27143,1
1575930-20050210,1575930,85608,12
84282-20040216,1461015,87243,1
1381462-20050216,1568181,264884,2
82067-20031116,1435083,68080,1
39412-20111016,2110703,33935,1
2179519-20120807,2179519,374676,1
1478285-20041116,1528794,41536,2
1579917-20070516,1814729,288379,1
57001-20021116,1287898,40114,1
1491016-20090116,1941134,276015,1
1991185-20110716,2097684,346658,1
1303281-20050216,1566592,255747,1
1304370-20090316,1951666,256134,1
1225453-20020226,1225453,22659,3
1335312-20040216,1458792,59149,3
1044277-20121116,2185621,9952,2
48075-20020816,1305715,56253,1
1302618-20030216,1309441,19642,4
1964697-20110416,2083139,342360,1
73528-20080116,1876054,22073,3
1331419-20090516,1976110,85400,4
1476785-20140316,2305918,65442,3
